"DiagramID","Package","Name","Type","File"
"18","/SOUKI - Plateforme AgriTech/01 - Vue des cas d'utilisation/Package Client","Cas d'utilisation - Client","Use Case","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_18.png"
"19","/SOUKI - Plateforme AgriTech/01 - Vue des cas d'utilisation/Package Parent","Cas d'utilisation - Parent","Use Case","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_19.png"
"20","/SOUKI - Plateforme AgriTech/01 - Vue des cas d'utilisation/Package Fournisseur","Cas d'utilisation - Fournisseur","Use Case","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_20.png"
"21","/SOUKI - Plateforme AgriTech/01 - Vue des cas d'utilisation/Package Livreur","Cas d'utilisation - Livreur","Use Case","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_21.png"
"22","/SOUKI - Plateforme AgriTech/01 - Vue des cas d'utilisation/Package Administration","Cas d'utilisation - Administrateur","Use Case","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_22.png"
"23","/SOUKI - Plateforme AgriTech/01 - Vue des cas d'utilisation","Packages des acteurs et dépendances","Package","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_23.png"
"24","/SOUKI - Plateforme AgriTech/02 - Vue dynamique/Authentification","Séquence 01 - Inscription et validation OTP","Sequence","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_24.png"
"25","/SOUKI - Plateforme AgriTech/02 - Vue dynamique/Commerce et commande","Séquence 02 - Panier intelligent avec fallback","Sequence","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_25.png"
"26","/SOUKI - Plateforme AgriTech/02 - Vue dynamique/Commerce et commande","Séquence 03 - Checkout et création de commande COD","Sequence","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_26.png"
"27","/SOUKI - Plateforme AgriTech/02 - Vue dynamique/Fournisseurs et JIT","Séquence 04 - Candidature et validation fournisseur","Sequence","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_27.png"
"28","/SOUKI - Plateforme AgriTech/02 - Vue dynamique/Fournisseurs et JIT","Séquence 05 - Agrégation JIT régionale","Sequence","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_28.png"
"29","/SOUKI - Plateforme AgriTech/02 - Vue dynamique/Logistique","Séquence 06 - Dispatch quotidien et affectation","Sequence","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_29.png"
"30","/SOUKI - Plateforme AgriTech/02 - Vue dynamique/Logistique","Séquence 07 - Livraison et encaissement COD","Sequence","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_30.png"
"31","/SOUKI - Plateforme AgriTech/02 - Vue dynamique/SAV et Wallet","Séquence 08 - Réclamation et remboursement Wallet","Sequence","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_31.png"
"32","/SOUKI - Plateforme AgriTech/03 - Vue logique","Diagramme de classes métier global","Logical","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_32.png"
"33","/SOUKI - Plateforme AgriTech/03 - Vue logique/Identité et sécurité","Classes - Identité, profils et RBAC","Logical","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_33.png"
"34","/SOUKI - Plateforme AgriTech/03 - Vue logique/Commerce","Classes - Catalogue, paniers et commandes","Logical","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_34.png"
"35","/SOUKI - Plateforme AgriTech/03 - Vue logique/Fournisseurs","Classes - Fournisseurs et offres","Logical","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_35.png"
"36","/SOUKI - Plateforme AgriTech/03 - Vue logique/Logistique","Classes - JIT, dispatch et livraison","Logical","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_36.png"
"37","/SOUKI - Plateforme AgriTech/03 - Vue logique/Finance et SAV","Classes - Paiement, Wallet, COD et SAV","Logical","A:\Users\Desktop\Souki\output\figures\uml\all\diagram_37.png"
